TABLE_NAME	COLUMN_NAME
alertas	alerta
alquileres	observacion
clientes	nombre
clientes	apellido
clientes	razon_social
clientes	nacionalidad
clientes	doc_expedido_por
clientes	lic_expedida_por
clientes	direccion
clientes	depto
clientes	codigo_postal
clientes	ciudad
clientes	celular
clientes	telefono_alternativo
clientes	mail
clientes	notas
clientes	usuario_resolucion_datero
clientes	usuario_alta
conceptos_costos	nombre
conceptos_costos	cuenta_contable
conceptos_costos	cuenta_secundaria
conceptos_costos	ingreso_egreso
contratos_alquiler	id_grupo_contrato
costos_ingresos	comprobante
costos_ingresos	observacion
datero_clientes	composicion_familiar
datero_clientes	tiene_o_tuvo_vehiculo
datero_clientes	tipo_servicio
datero_clientes	nivel_deuda
datero_clientes	antiguedad_uber
datero_clientes	antiguedad_cabify
datero_clientes	antiguedad_didi
datero_clientes	trabajos_anteriores
datero_clientes	observacion_perfil
estados_vehiculos	nombre
formas_cobro	nombre
formas_cobro	cuenta_contable
formas_cobro	cuenta_secundaria
historial_estados	usuario
modelos	nombre
pagos_clientes	usuario_alta_registro
pagos_clientes	observacion
parametros	codigo
parametros	descripcion
parametros	valor_str
proveedores_gps	nombre
provincias	nombre
recibos	detalle
recibos	usuario_alta
roles	concepto
sucursales	nombre
tipos_documentos	nombre
tipos_responsable	nombre
tipos_sexo	nombre
usuarios	password
usuarios	email
usuarios	nombre
usuarios	roles
usuarios	usuario_alta
vehiculos	nro_factura_compra
vehiculos	dominio
vehiculos	dominio_provisorio
vehiculos	nro_chasis
vehiculos	nro_motor
vehiculos	nro_serie_gps
vehiculos	color
vehiculos	ubicacion
vehiculos	observaciones
vehiculos	usuario_ultima_modificacion
